,Author,Title,State,District,DateBan,Country,Description
2389,"Ukazu, Ngozi","#Hockey (Check, Please! Series)",Texas,Prosper Independent School District,2022-03-01,USA,Banned in Libraries and Classrooms
2390,"Ukazu, Ngozi","Sticks & Scones (Check, Please! Series)",Tennessee,Collierville Schools,2022-02-01,USA,Banned Pending Investigation
2391,"Vaid-Menon, Alok",Beyond the Gender Binary,Tennessee,Collierville Schools,2022-02-01,USA,Banned in Libraries and Classrooms
2392,"Valentine, Jenny",Hello Now,Texas,North East Independent School District,2021-12-01,USA,Banned Pending Investigation
2393,"Valenzuela, Angela",Subtractive Schooling: U.S.-Mexican Youth and the Politics of Caring,Pennsylvania,Central York School District,2021-08-01,USA,Banned in Classrooms
2394,"Van Ness, Jonathan",Peanut Goes for the Gold,Pennsylvania,Central York School District,2021-08-01,USA,Banned in Classrooms
2395,"van Whye, Kevin","Date Me, Bryson Keller",Tennessee,Collierville Schools,2022-02-01,USA,Banned Pending Investigation
2396,"Vanasse, Deb",Totem Tale,Florida,Duval County Public Schools,2022-01-01,USA,Banned Pending Investigation
2397,"Vande Velde, Vivian","Alison, Who Went Away",Texas,North East Independent School District,2021-12-01,USA,Banned in Libraries
2398,"Varela, Nina",Crier's War (Crier's War Series),Tennessee,Collierville Schools,2022-02-01,USA,Banned Pending Investigation
2399,"Varela, Nina",Iron Heart (Crier's War Series),Tennessee,Collierville Schools,2022-02-01,USA,Banned Pending Investigation
2400,"Vaughan, Brian K.","Saga, Volume 1 (Saga Series)",Illinois,Lake Forest Schools,2021-12-01,USA,Banned in Libraries
2401,"Vaughan, Brian K.",Y: The Last Man,Texas,Leander Independent School District,2021-09-01,USA,Banned in Classrooms
2402,"Velásquez, Eric",Looking for Bongo,Florida,Duval County Public Schools,2022-01-01,USA,Banned Pending Investigation
2403,"Venable, Colleen A. F.",Kiss Number 8,Texas,North East Independent School District,2021-12-01,USA,Banned Pending Investigation
2404,"Venezia, Mike",Faith Ringgold (Getting to Know the World's Greatest Artists),Pennsylvania,Central York School District,2021-08-01,USA,Banned in Classrooms
2405,"Verde, Susan",I Am Human: A Book of Empathy (I Am... Series),Pennsylvania,Central York School District,2021-08-01,USA,Banned in Classrooms
2406,"Verdi, Jessica",And She Was,Tennessee,Collierville Schools,2022-02-01,USA,Banned Pending Investigation
2407,"Verdi, Jessica",And She Was,Texas,North East Independent School District,2021-12-01,USA,Banned Pending Investigation
2408,"Verdi, Jessica",Follow Your Arrow,Tennessee,Collierville Schools,2022-02-01,USA,Banned Pending Investigation
2409,"Verdi, Jessica",Follow Your Arrow,Texas,Fredericksburg Independent School District,2022-03-01,USA,Banned Pending Investigation
2410,"Victoria, Emily",This Golden Flame,Tennessee,Collierville Schools,2022-02-01,USA,Banned Pending Investigation
2411,"Villa, Jonny Garza",Fifteen Hundred Miles from the Sun,Tennessee,Collierville Schools,2022-02-01,USA,Banned Pending Investigation
2412,"Villasante, Alexandra",The Grief Keeper,Texas,North East Independent School District,2021-12-01,USA,Banned Pending Investigation
2413,"Volponi, Paul",Black and White,New Jersey,Lower Township Elementary School District,2022-02-01,USA,Banned Pending Investigation
2414,"Volponi, Paul",Crossing Lines,Texas,North East Independent School District,2021-12-01,USA,Banned in Libraries
2415,"von Ziegesar, Cecily",Gossip Girl: A Novel by Cecily von Ziegesar (Gossip Girl Series),Florida,Indian River County School District,2021-11-01,USA,Banned in Libraries and Classrooms
2416,"Vonnegut Jr., Kurt",Slaughterhouse-Five,Florida,Brevard Public Schools,2022-05-01,USA,Banned Pending Investigation
2417,"Vonnegut Jr., Kurt",Slaughterhouse-Five,Michigan,Gladwin Community Schools,2022-05-01,USA,Banned Pending Investigation
2418,"Wade, Mary Dodson",Condoleezza Rice: Being the Best (Gateway Biographies),Pennsylvania,Central York School District,2021-08-01,USA,Banned in Classrooms
2419,"Walden, Mark",Dreadnought (H.I.V.E. Series),Texas,Granbury Independent School District,2022-01-01,USA,Banned Pending Investigation
2420,"Walden, Mark",Dreadnought (H.I.V.E. Series),Texas,North East Independent School District,2021-12-01,USA,Banned Pending Investigation
2421,"Walden, Tillie",On a Sunbeam (On a Sunbeam Series),Tennessee,Collierville Schools,2022-02-01,USA,Banned Pending Investigation
2422,"Walden, Tillie",Spinning,Florida,Indian River County School District,2021-11-01,USA,Banned in Libraries and Classrooms
2423,"Walden, Tillie",Spinning,Texas,North East Independent School District,2021-12-01,USA,Banned Pending Investigation
2424,"Walker, Abena",Beyond Theory: A Blueprint to Implement African-Centered Education,Pennsylvania,Central York School District,2021-08-01,USA,Banned in Classrooms
2425,"Walker, Abena",Our Favorite African Adrinkra Symbols: A Coloring Book,Pennsylvania,Central York School District,2021-08-01,USA,Banned in Classrooms
2426,"Walker, Alice",The Color Purple,Florida,Indian River County School District,2021-11-01,USA,Banned Pending Investigation
2427,"Wallace, Rich",Dishes,Texas,Granbury Independent School District,2022-01-01,USA,Banned Pending Investigation
2428,"Wallmark, Laurie",Ada Byron Lovelace and the Thinking Machine,Pennsylvania,Central York School District,2021-08-01,USA,Banned in Classrooms
2429,"Wallmark, Laurie",Grace Hopper: Queen of Computer Code,Pennsylvania,Central York School District,2021-08-01,USA,Banned in Classrooms
2430,"Walls, Jeannette",The Glass Castle,Florida,Indian River County School District,2021-11-01,USA,Banned in Libraries
2431,"Walls, Jeannette",The Glass Castle,Michigan,Gladwin Community Schools,2022-05-01,USA,Banned Pending Investigation
2432,"Walls, Jeannette",The Glass Castle,Missouri,Nixa Public Schools,2022-02-01,USA,Banned in Libraries
